book_title,book_author,book_translator,book_pub_date,book_isbn
Make: 라즈베리 파이 로봇,볼프람 도낫 ,이하영 ,2015-08-27,9788968482144
프로젝트로 배우는 라즈베리 파이,도날드 노리스 ,임지순 ,2015-04-24,9788968481888
"3D 프린터 101 : 기초부터 활용까지, 3D 프린터의 모든 것(개정판)",안상준 ,,2018-07-15,9791162240793
"엔트리, 피지컬 컴퓨팅을 만나다","최현종 , 이상열 , 이현아 ",,2018-08-03,9791162240991
일상 무기 제작법 1 : 생활용품으로 전투 무기 만들기,존 오스틴 ,정향 ,2015-10-06,9788968482151
Maker Pro : 메이커 프로,존 베이첼 ,정향 ,2015-07-28,9788968482038
Zero to Maker: 누구나 메이커가 될 수 있다,데이비드 랭 ,장재웅 ,2015-02-27,9788968481710
일상 무기 제작법 2 : 생활용품으로 첩보 무기 만들기,존 오스틴 ,정향 ,2015-12-01,9788968482328
전자부품 백과사전 vol.2 : 신호 처리,찰스 플랫 ,"배지은 , 이하영 ",2015-12-01,9788968482373
Make: 센서,"테로 카르비넨 , 키모 카르비넨 , 빌리 발토카리 ","지영민 , 남기혁 ",2015-09-28,9788968482205
하드웨어 스타트업,"르네 디레스타 , 브레이디 포레스트 , 라이언 빈야드 ",정향 ,2016-10-01,9788968484834
메이커 매뉴얼,"안드레아 마이에타 , 파올로 알리베르티 ",남기혁 ,2016-07-01,9788968482885
Make: 심플 로봇,케이티 세서리 ,임지순 ,2016-08-01,9788968484971
라즈베리 파이 쿡북,사이먼 몽크 ,"박경욱 , 백운혁 , 유시형 , 윤종우 ",2014-12-26,9788968481536
일상 무기 제작법 3 : 생활용품으로 중세의 공성 무기 만들기,존 오스틴 ,정향 ,2016-02-19,9788968482472
"(10대를 위한 프로그래밍 노트, 수프) 프로그래밍 비타민 : 컴퓨팅 사고력을 키우는 22가지 이야기",김종훈 ,,2015-07-28,9788968482106
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV1. 모두를 위한 파이썬 기초",크리스 로피 ,유형목 ,2015-08-26,9788968482168
아이와 함께 할 수 있는 50가지 위험한 실험,"게버 털리 , 줄리 스피글러 ",c: operated ,2013-04-21,9788968480089
핸드메이드 일렉트로닉 뮤직,니콜라스 콜린스 ,임지순 ,2016-03-04,9788968482632
Make: Technology on Your Time Volume 02,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2011-09-06,9788979148411
메이커 운동 선언 : 테크숍 CEO가 말하는 미래를 지배할 혁신의 원칙,마크 해치 ,정향 ,2014-05-20,9788968480980
처음 시작하는 센서,"키모 카르비넨 , 테로 카르비넨 ",임지순 ,2015-02-25,9788968481697
전자부품 백과사전 vol.1 : 전력 전원 및 변환,찰스 플랫 ,배지은 ,2014-12-26,9788968481505
Make: Technology on Your Time Volume 01,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2011-05-09,9788979147728
"(꼬마해커의 작업실, 수프) 스크래치 : 창의력과 문제해결능력 향상을 위한 첫걸음","김종훈 , 양영훈 ",,2014-03-20,9788968480829
Make : 아두이노 DIY 프로젝트,"키모 카르비넨 , 테로 카르비넨 ",배지은 ,2014-01-02,9788968480737
"(꼬마해커의 작업실, 수프) 스크래치 알고리즘 : 초등학생도 볼 수 있는 가장 쉬운 알고리즘",김종훈 ,,2014-11-12,9788968481390
"IT CookBook, 운영체제(개정3판)",구현회 ,,2016-06-30,9791156642459
대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,김종훈 ,,2016-01-26,9788968482557
NDC ART BOOK,2016 넥슨 개발자 콘퍼런스 전시 작가 ,,2016-04-18,9788968482847
33가지 프로젝트로 배우는 아두이노,사이먼 몽크 ,윤진서 ,2014-05-20,9788968481000
머신러닝을 이용한 알고리즘 트레이딩 시스템 개발,"안명호 , 류미현 ",,2016-04-27,9788968488030
HTTPS 무료 사용을 위한 Let’s Encrypt 사용자 가이드,시큐리티플러스 ,,2016-08-31,9788968488405
대학생을 위한 파이썬 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,크리스 로피 ,"이지호 , 유형목 ",2016-01-26,9788968482540
"(10대를 위한 프로그래밍 노트, 수프) 앱 인벤터: 나만의 앱 만들기! 구글과 MIT 기술로 배우는 컴퓨팅 사고력",김종훈 ,,2016-01-14,9788968482342
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV2. 본격 파이썬 입문",크리스 로피 ,"이지호 , 유형목 ",2015-08-26,9788968482175
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV3. 제대로 된 파이썬 앱 만들기",크리스 로피 ,"이지호 , 유형목 ",2015-11-06,9788968482335
창의적인 문제 해결 능력을 키워주는 IT 퍼즐,"김종훈 , 김병수 , 김태훈 , 양영훈 , 오정철 , 현동림 ",,2017-08-01,9788968488634
Make : Technology on Your Time Volume 06,메이커 미디어 ,한빛미디어 / Make ,2013-05-21,9788968480188
"IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학",김종훈 ,,2018-01-26,9791156643814
